Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,10053.0,9918.0,129.0
Andhra Pradesh,2320060.0,2305224.0,14731.0
Arunachal Pradesh,64509.0,64212.0,296.0
Assam,724243.0,716246.0,7986.0
Bihar,830880.0,818546.0,12256.0
Chandigarh,92617.0,91316.0,1165.0
Chhattisgarh,1152566.0,1138442.0,14035.0
Dadra and Nagar Haveli and Daman and Diu,11441.0,11437.0,4.0
Delhi,1910613.0,1882623.0,26216.0
Goa,246259.0,242026.0,3832.0
Gujarat,1225815.0,1214354.0,10944.0
Haryana,1004621.0,992830.0,10621.0
Himachal Pradesh,285203.0,280937.0,4136.0
Jammu and Kashmir,454314.0,449494.0,4752.0
Jharkhand,435397.0,430030.0,5319.0
Karnataka,3954784.0,3911796.0,40108.0
Kerala,6571251.0,6489234.0,69824.0
Ladakh,28276.0,28041.0,228.0
Lakshadweep,11402.0,11350.0,52.0
Madhya Pradesh,1042928.0,1031915.0,10737.0
Maharashtra,7901628.0,7742190.0,147867.0
Manipur,137242.0,135121.0,2120.0
Meghalaya,93827.0,92233.0,1593.0
Mizoram,228512.0,227671.0,700.0
Nagaland,35498.0,34736.0,761.0
Odisha,1288576.0,1279281.0,9126.0
Puducherry,165914.0,163917.0,1962.0
Punjab,760548.0,742637.0,17754.0
Rajasthan,1286259.0,1276289.0,9559.0
Sikkim,39175.0,38713.0,453.0
Tamil Nadu,3456697.0,3417595.0,38025.0
Telangana,794029.0,789107.0,4111.0
Tripura,100889.0,99964.0,923.0
Uttarakhand,438044.0,429815.0,7693.0
Uttar Pradesh,2081109.0,2056647.0,23524.0
West Bengal,2019927.0,1998205.0,21205.0
National Total,43205106.0,42644092.0,524747.0
